Population Size,200
Crossover Rate,0.6
Proposition Crossover Rate,1.0
Mutation Rate,0.2
Proposition Mutation Rate,1.0
Budget,10
LPLV,LPOP,LPRV,RPLV,RPOP,RPRV,tp,tn,fp,fn,Score
color t+0,>=,color_goal,color t+39,<,color_goal,34,59,30,30,36.55913978494624
color t+0,>,color_goal,color t+31,<,color_goal,28,49,38,46,36.36363636363637
speed t+10,>,speed t+24,color t+0,<,color_goal,45,79,21,23,36.29032258064516
color t+0,>,color_goal,color t+39,<,color_goal,27,48,37,41,36.0
color t+0,>,color_goal,color t+40,<,color_goal,27,48,36,41,36.0
color t+0,>,color_goal,color t+30,<,color_goal,28,50,39,45,35.8974358974359
color t+42,>,color_goal,color t+0,<,color_goal,24,43,33,50,35.82089552238806
color t+0,>,color_goal,color t+17,<,color_goal,29,54,43,49,34.93975903614458
color t+2,>,color_goal,color t+0,<,color_goal,30,57,47,56,34.48275862068966
color t+17,>,color_goal,color t+0,<,color_goal,27,52,44,52,34.177215189873415
color t+0,>,color_goal,color t+10,<,color_goal,29,56,47,50,34.11764705882353
color t+49,>,color_goal,color t+0,<,color_goal,21,41,36,45,33.87096774193548
color t+0,>,color_goal,color t+21,<,color_goal,28,55,43,45,33.734939759036145
color t+31,>,color_goal,color t+0,<,color_goal,24,48,42,47,33.33333333333333
color t+0,>,color_goal,color t+48,<,color_goal,23,46,37,38,33.33333333333333
color t+0,>=,color_goal,color t+20,<,color_goal,34,69,38,31,33.00970873786408
color t+40,>,color_goal,color t+0,<,color_goal,22,45,37,48,32.83582089552239
color t+0,>,color_goal,color t+49,<,color_goal,22,46,37,38,32.35294117647059
color t+21,>,color_goal,color t+0,<,color_goal,24,52,44,51,31.57894736842105
color t+41,>,color_goal,color t+0,<,color_goal,21,46,37,47,31.343283582089555
color t+30,>,color_goal,color t+0,<,color_goal,22,50,44,46,30.555555555555557
angle t+15,<,angle t+39,color t+0,<,color_goal,22,50,38,43,30.555555555555557
color t+29,>,color_goal,color t+0,<,color_goal,21,51,45,46,29.166666666666668
color t+0,>,color_goal,color t+20,<,color_goal,24,59,48,41,28.915662650602407
color t+0,>,color_goal,color t+44,>,color t+30,21,52,40,35,28.767123287671232
color t+18,>,color_goal,color t+0,<,color_goal,22,56,49,47,28.205128205128204
color t+0,>,color_goal,color t+1,<=,color_goal,23,66,80,22,25.842696629213485
color t+0,>,color_goal,color t+18,<,color_goal,21,62,51,40,25.301204819277107
color t+20,>,color_goal,color t+0,<,color_goal,19,57,50,46,25.0
color t+0,>,color_goal,color t+19,<,color_goal,20,63,52,38,24.096385542168676
color t+19,>,color_goal,color t+0,<,color_goal,18,59,52,44,23.376623376623375
color t+0,>,color_goal,distance t+47,>=,distance t+16,16,54,21,54,22.857142857142858
